"","lk","aic","bic","edc"
"res_sn1",-3436.54735933476,6887.09471866952,6920.74252419227,6915.18794852897
"res_sn2",-2375.26004482832,4772.52008965664,4825.39521262095,4816.66659372148
"res_sn3",-3297.68673452323,6625.37346904647,6697.47590945235,6685.5732473167
"res_st1",-2941.46074435275,5898.9214887055,5937.37612358864,5931.0280371163
"res_st2",-1351.08881584413,2726.17763168826,2783.85958401296,2774.33745430445
"res_st3",-3361.725578404,6755.451156808,6832.36042657428,6819.66425362959
"res_ss1",-2654.60295022115,5325.2059004423,5363.66053532544,5357.31244885309
"res_ss2",-3621.27514762739,7266.55029525478,7324.23224757949,7314.71011787097
"res_ss3",-3934.98247468098,7901.96494936196,7978.87421912823,7966.17804618355
"res_scn1",-4535.81576781813,9089.63153563626,9132.89299987979,9125.7514025984
"res_scn2",-3482.34010969491,6990.68021938981,7053.16900107491,7042.85336055735
"res_scn3",-3541.0649354857,7116.12987097141,7197.84597009807,7184.35628634434
"res_n1",-1997.95509382695,4007.91018765389,4036.75116381625,4031.99009896199
"res_n2",-1927.6698897764,3873.3397795528,3916.60124379633,3909.45964651495
"res_n3",-2345.57656237232,4715.15312474464,4772.83507706935,4763.31294736083
"res_t1",-1995.84739135085,4005.6947827017,4039.34258822444,4033.78801256114
"res_t2",-2066.69987911864,4153.39975823728,4201.4680518412,4193.53294375077
"res_t3",-1976.51949121956,3979.03898243912,4041.52776412422,4031.21212360666
