,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
1,0.616791144,0,0,1.518082194,0,0,-0.771071461,0,0,0,0,1,0,0,0.788489736,0.000275455,0.016658853,0.894528488
2,0.517612809,-0.262202257,0,1.211829159,0.842329835,0,-1.876714666,6.439666934,0,0,0,0.480316574,0.519683426,0,1.595825382,0.004373571,0.017597041,0.959507488
3,0.805255454,-0.468194924,0.445047237,2.934535482,0.103312079,0.002023807,-1.337206301,3.380548704,0.043882386,0,0,0.511058603,0.316793149,0.172148247,1.166089925,0.000135702,0.017725883,0.920232234
4,0.818241571,0,0,0.939651208,0,0,-0.824013892,0,0,2.235341781,0,1,0,0,2.357430455,0.004123017,0.017581994,0.902943965
5,0.707029603,-0.449649618,0,1.283739533,0.898862896,0,-1.472630692,1.105891838,0,6.889472267,0,0.462698292,0.537301708,0,0.9355234,0.000382275,0.018024057,0.973035617
6,0.411691566,-0.266408528,0.265554889,1.542894135,0.006859031,0.00350281,-2.316916838,3.841769337,0.161041111,4.631956688,0,0.424673188,0.146076109,0.429250703,1.038402548,0.005075014,0.02783518,0.96926457
7,0.816755446,0,0,0.64680918,0,0,-2.212802739,0,0,0.918173354,0,1,0,0,0.479986827,0.000881577,0.019951341,0.95662808
8,0.817551399,-0.468385919,0,0.872270939,0.544401886,0,-1.646513833,0.55827298,0,2.328432989,0,0.478142051,0.521857949,0,0.536835055,0.004534615,0.018108486,0.921225494
9,0.479952611,-0.254404014,0.257068778,1.414874709,0.412835,0.001260031,-4.451375248,3.890409851,0.176122904,5.016480313,0,0.431441725,0.162604963,0.405953312,1.597747547,0.002285873,0.036002325,9.32E-01
10,0.817290128,0,0,1.180927453,0,0,-1.952791886,0,0,0.080811134,0.072063349,1,0,0,0.615455183,0.002660891,0.018472519,0.914784447
11,0.810366938,-0.471482257,0,2.884531793,0.051585453,0,-0.560614492,9.394930851,0,0.087874051,0.323406015,0.117329376,0.882670624,0,0.426162963,0.000275987,0.017923314,0.967207302
12,0.547986922,-0.281206099,0.260634685,1.03054475,0.035851578,0.001220486,-1.535535801,3.375062373,0.168399041,0.088357731,0.103277434,0.379953996,0.249734246,0.370311758,0.689524901,0.005002069,0.048023229,0.903568249
13,0.816503687,0,0,2.477063764,0,0,0,0,0,0,0,1,0,0,1.539812461,0.002812325,0.016490111,0.867097704
14,0.818713705,-0.469063634,0,1.201591354,0.789470088,0,0,0,0,0,0,0.348551729,0.651448271,0,2.120166734,0.004903946,0.017632612,0.957201651
15,0.714908631,-0.472989582,0.44933498,2.716248513,0.309072447,0.00854867,0,0,0,0,0,0.376304915,0.21715722,0.406537866,1.78322023,0.005651358,0.020896964,0.937619363
16,0.8189113,0,0,1.104438385,0,0,0,0,0,2.030155348,0,1,0,0,0.593472669,0.000254812,0.017580933,0.900926921
17,0.797209309,-0.474176786,0,2.436505727,0.048307837,0,0,0,0,2.576493746,0,0.481465009,0.518534991,0,0.265162978,0.001082374,0.017590974,0.965850826
18,0.821709137,-0.470252368,0.27167894,0.839266044,0.066939025,0.004770657,0,0,0,2.258777686,0,0.643673989,0.353416001,0.00291001,0.555894028,0.000480948,0.048973434,0.818744788
